source_archive,package_path,package_name,dependency_type,dependency
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@aws-sdk/client-s3
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@clerk/nextjs
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@langchain/community
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@langchain/core
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@langchain/openai
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@pinecone-database/pinecone
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@prisma/client
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-checkbox
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-dialog
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-dropdown-menu
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-label
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-select
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-separator
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-slot
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-switch
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@radix-ui/react-tooltip
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@react-email/components
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@react-email/render
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@sentry/nextjs
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@slack/bolt
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@slack/web-api
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@upstash/qstash
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@upstash/ratelimit
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,@upstash/redis
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,class-variance-authority
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,clsx
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,date-fns
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,googleapis
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,groq-sdk
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,langchain
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,lucide-react
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,neo4j-driver
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,next
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,next-themes
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,openai
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,pdf-parse
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,pg
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,prisma
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,react
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,react-dom
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,react-force-graph-2d
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,react-h5-audio-player
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,recharts
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,resend
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,sonner
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,stripe
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,svix
Memoir-Ai-main.zip,package.json,meet-bot,dependencies,tailwind-merge
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,@eslint/eslintrc
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,@tailwindcss/postcss
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,@types/node
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,@types/nodemailer
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,@types/react
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,@types/react-dom
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,eslint
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,eslint-config-next
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,nodemailer
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,tailwindcss
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,tw-animate-css
Memoir-Ai-main.zip,package.json,meet-bot,devDependencies,typescript
Memoir-Ai-main.zip,lambda-chat/package.json,chat-reset-lambda,dependencies,@prisma/client
Memoir-Ai-main.zip,lambda-chat/package.json,chat-reset-lambda,dependencies,prisma
Memoir-Ai-main.zip,lambda-function/package.json,bot-scheduler-lambda,dependencies,@prisma/client
Memoir-Ai-main.zip,lambda-function/package.json,bot-scheduler-lambda,dependencies,google-auth-library
Memoir-Ai-main.zip,lambda-function/package.json,bot-scheduler-lambda,dependencies,prisma
Memoir-Ai-main.zip,lambda-chat/lambda-layer/package.json,chat-reset-lambda,dependencies,@prisma/client
Memoir-Ai-main.zip,lambda-chat/lambda-layer/package.json,chat-reset-lambda,dependencies,prisma
Zoomish-main.zip,package.json,chat,dependencies,@tailwindcss/vite
Zoomish-main.zip,package.json,chat,dependencies,@tanstack/react-router
Zoomish-main.zip,package.json,chat,dependencies,@tanstack/react-store
Zoomish-main.zip,package.json,chat,dependencies,class-variance-authority
Zoomish-main.zip,package.json,chat,dependencies,clsx
Zoomish-main.zip,package.json,chat,dependencies,firebase
Zoomish-main.zip,package.json,chat,dependencies,lucide-react
Zoomish-main.zip,package.json,chat,dependencies,react
Zoomish-main.zip,package.json,chat,dependencies,react-dom
Zoomish-main.zip,package.json,chat,dependencies,tailwind-merge
Zoomish-main.zip,package.json,chat,dependencies,tailwindcss
Zoomish-main.zip,package.json,chat,devDependencies,@types/react
Zoomish-main.zip,package.json,chat,devDependencies,@types/react-dom
Zoomish-main.zip,package.json,chat,devDependencies,@vitejs/plugin-react
Zoomish-main.zip,package.json,chat,devDependencies,typescript
Zoomish-main.zip,package.json,chat,devDependencies,vite
Zoomish-main.zip,package.json,chat,devDependencies,vite-tsconfig-paths
garely-main.zip,app/package.json,garely,dependencies,@auth/prisma-adapter
garely-main.zip,app/package.json,garely,dependencies,@aws-sdk/client-s3
garely-main.zip,app/package.json,garely,dependencies,@aws-sdk/s3-request-presigner
garely-main.zip,app/package.json,garely,dependencies,@devolutions/iron-remote-desktop
garely-main.zip,app/package.json,garely,dependencies,@devolutions/iron-remote-desktop-rdp
garely-main.zip,app/package.json,garely,dependencies,@livekit/components-react
garely-main.zip,app/package.json,garely,dependencies,@livekit/components-styles
garely-main.zip,app/package.json,garely,dependencies,@prisma/client
garely-main.zip,app/package.json,garely,dependencies,autoprefixer
garely-main.zip,app/package.json,garely,dependencies,clsx
garely-main.zip,app/package.json,garely,dependencies,date-fns
garely-main.zip,app/package.json,garely,dependencies,ics
garely-main.zip,app/package.json,garely,dependencies,ioredis
garely-main.zip,app/package.json,garely,dependencies,jose
garely-main.zip,app/package.json,garely,dependencies,livekit-client
garely-main.zip,app/package.json,garely,dependencies,livekit-server-sdk
garely-main.zip,app/package.json,garely,dependencies,lucide-react
garely-main.zip,app/package.json,garely,dependencies,next
garely-main.zip,app/package.json,garely,dependencies,next-auth
garely-main.zip,app/package.json,garely,dependencies,next-intl
garely-main.zip,app/package.json,garely,dependencies,nodemailer
garely-main.zip,app/package.json,garely,dependencies,postcss
garely-main.zip,app/package.json,garely,dependencies,qrcode
garely-main.zip,app/package.json,garely,dependencies,react
garely-main.zip,app/package.json,garely,dependencies,react-dom
garely-main.zip,app/package.json,garely,dependencies,tailwind-merge
garely-main.zip,app/package.json,garely,dependencies,tailwindcss
garely-main.zip,app/package.json,garely,dependencies,web-push
garely-main.zip,app/package.json,garely,dependencies,zod
garely-main.zip,app/package.json,garely,devDependencies,@types/node
garely-main.zip,app/package.json,garely,devDependencies,@types/nodemailer
garely-main.zip,app/package.json,garely,devDependencies,@types/qrcode
garely-main.zip,app/package.json,garely,devDependencies,@types/react
garely-main.zip,app/package.json,garely,devDependencies,@types/react-dom
garely-main.zip,app/package.json,garely,devDependencies,@types/web-push
garely-main.zip,app/package.json,garely,devDependencies,@vitest/coverage-v8
garely-main.zip,app/package.json,garely,devDependencies,prisma
garely-main.zip,app/package.json,garely,devDependencies,typescript
garely-main.zip,app/package.json,garely,devDependencies,vitest
garely-main.zip,app/package.json,garely,devDependencies,vitest-mock-extended
open-meet-main.zip,package.json,open-meet,devDependencies,@eslint/js
open-meet-main.zip,package.json,open-meet,devDependencies,@types/node
open-meet-main.zip,package.json,open-meet,devDependencies,eslint
open-meet-main.zip,package.json,open-meet,devDependencies,globals
open-meet-main.zip,package.json,open-meet,devDependencies,prettier
open-meet-main.zip,package.json,open-meet,devDependencies,rimraf
open-meet-main.zip,package.json,open-meet,devDependencies,tsx
open-meet-main.zip,package.json,open-meet,devDependencies,turbo
open-meet-main.zip,package.json,open-meet,devDependencies,typescript
open-meet-main.zip,package.json,open-meet,devDependencies,typescript-eslint
open-meet-main.zip,packages/config/package.json,@open-meet/config,dependencies,zod
open-meet-main.zip,packages/config/package.json,@open-meet/config,devDependencies,rimraf
open-meet-main.zip,packages/config/package.json,@open-meet/config,devDependencies,typescript
open-meet-main.zip,packages/types/package.json,@open-meet/types,devDependencies,rimraf
open-meet-main.zip,packages/types/package.json,@open-meet/types,devDependencies,typescript
open-meet-main.zip,packages/types/package.json,@open-meet/types,devDependencies,vitest
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@open-meet/types
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-avatar
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-dialog
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-dropdown-menu
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-label
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-popover
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-scroll-area
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-select
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-separator
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-slot
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-switch
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@radix-ui/react-tooltip
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,@tanstack/react-table
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,class-variance-authority
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,clsx
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,cmdk
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,lucide-react
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,motion
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,react-day-picker
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,sonner
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,dependencies,tailwind-merge
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,@open-meet/typescript-config
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,@tanstack/react-query
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,@types/react
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,@types/react-dom
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,next
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,next-themes
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,react
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,react-dom
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,rimraf
open-meet-main.zip,packages/ui/package.json,@open-meet/ui,devDependencies,typescript
open-meet-main.zip,packages/utils/package.json,@open-meet/utils,devDependencies,rimraf
open-meet-main.zip,packages/utils/package.json,@open-meet/utils,devDependencies,typescript
open-meet-main.zip,packages/utils/package.json,@open-meet/utils,devDependencies,vitest
open-meet-main.zip,apps/admin/package.json,@open-meet/admin,dependencies,@hookform/resolvers
open-meet-main.zip,apps/admin/package.json,@open-meet/admin,dependencies,@open-meet/config
open-meet-main.zip,apps/admin/package.json,@open-meet/admin,dependencies,@open-meet/tailwind-config
open-meet-main.zip,apps/admin/package.json,@open-meet/admin,dependencies,@open-meet/types
open-meet-main.zip,apps/admin/package.json,@open-meet/admin,dependencies,@open-meet/ui
open-meet-main.zip,apps/admin/package.json,@open-meet/admin,dependencies,@tanstack/react-query
open-meet-main.zip,apps/admin/package.json,@open-meet/admin,dependencies,@tanstack/react-query-devtools
open-meet-main.zip,apps/admin/package.json,@open-meet/admin,dependencies,@tanstack/react-table
